[18:23:04] [main/INFO]: Logging in with username & password
[18:23:11] [main/INFO]: Setting user: AnnihilateCats
[18:23:13] [Client thread/INFO]: LWJGL Version: 2.9.1
[18:23:20] [Client thread/INFO]: Reloading ResourceManager: Default, FMLFileResourcePack:Forge Mod Loader, FMLFileResourcePack:Minecraft Forge, FMLFileResourcePack:Extra Vanilla Addons
[18:23:21] [Sound Library Loader/INFO]: Sound engine started
[18:23:24] [Client thread/INFO]: Created: 512x256 textures/blocks-atlas
[18:23:24] [Client thread/INFO]: Created: 256x256 textures/items-atlas
[18:23:24] [Client thread/INFO]: Reloading ResourceManager: Default, FMLFileResourcePack:Forge Mod Loader, FMLFileResourcePack:Minecraft Forge, FMLFileResourcePack:Extra Vanilla Addons
[18:23:24] [Client thread/INFO]: Created: 256x256 textures/items-atlas
[18:23:25] [Client thread/INFO]: Created: 512x256 textures/blocks-atlas
[18:23:26] [Sound Library Loader/INFO]: Sound engine started
[18:23:31] [Server thread/INFO]: Starting integrated minecraft server version 1.7.10
[18:23:31] [Server thread/INFO]: Generating keypair
[18:23:32] [Server thread/INFO]: Preparing start region for level 0
[18:23:34] [Server thread/INFO]: AnnihilateCats[local:E:0a1d105d] logged in with entity id 193 at (229.62482169293463, 4.0, 931.6900504016821)
[18:23:34] [Server thread/INFO]: AnnihilateCats joined the game
[18:25:48] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:26:33] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:27:18] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:28:03] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:28:48] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:29:33] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:30:18] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:31:03] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:31:48] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:32:33] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:33:18] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:34:03] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:34:48] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:35:33] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:36:18] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:37:03] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:37:48] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:38:33] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:39:18] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:40:03] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:40:48] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:41:33] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:42:18] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:43:03] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:43:48] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:44:33] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:45:18] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:46:03] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:46:48] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:47:33] [Server thread/WARN]: The save is being accessed from another location, aborting
[18:48:18] [Server thread/WARN]: The save is being accessed from another location, aborting
